detachable = yes

# 0 - 早期水上飞机 
model = {
	cost 				= 1
	buildtime			= 25
	manpower 			= 0.02
	surfacedetectioncapability	= 1
	airdetectioncapability		= 1
	subdetectioncapability		= 1
	airdefence			= 0
	seaattack			= 0
	convoyattack			= 0
	subattack			= 0
	airattack			= 0
	shorebombardment		= 0
	distance			= 0
	supplyconsumption 		= 0.1
	fuelconsumption			= 0.1
	upgrade_time_factor 		= 0.8
	upgrade_cost_factor 		= 0.6
	equipment = { floatplane = 4 manpower = 20 }
}
# 1 - 早期一战水上飞机 
model = {
	cost 				= 1
	buildtime			= 25
	manpower 			= 0.02
	surfacedetectioncapability	= 2
	airdetectioncapability		= 1
	subdetectioncapability		= 1
	airdefence			= 0
	seaattack			= 0
	convoyattack			= 0
	subattack			= 0
	airattack			= 0
	shorebombardment		= 0
	distance			= 0.05
	supplyconsumption 		= 0.1
	fuelconsumption			= 0.1
	upgrade_time_factor 		= 0.8
	upgrade_cost_factor 		= 0.6
	equipment = { floatplane = 4 manpower = 20 }
}
# 2 - 一战水上飞机 
model = {
	cost 				= 1
	buildtime			= 25
	manpower 			= 0.02
	surfacedetectioncapability	= 3
	airdetectioncapability		= 1
	subdetectioncapability		= 1
	airdefence			= 0
	seaattack			= 1
	convoyattack			= 1
	subattack			= 0
	airattack			= 0
	shorebombardment		= 0
	distance			= 0.05
	supplyconsumption 		= 0.1
	fuelconsumption			= 0.1
	upgrade_time_factor 		= 0.8
	upgrade_cost_factor 		= 0.6
	equipment = { floatplane = 4 manpower = 20 }
}
# 3 - 间战水上飞机 
model = {
	cost 				= 1
	buildtime			= 25
	manpower 			= 0.02
	surfacedetectioncapability	= 3
	airdetectioncapability		= 1
	subdetectioncapability		= 1
	airdefence			= 0
	seaattack			= 1
	convoyattack			= 2
	subattack			= 0
	airattack			= 0
	shorebombardment		= 0
	distance			= 0.05
	supplyconsumption 		= 0.2
	fuelconsumption			= 0.1
	upgrade_time_factor 		= 0.8
	upgrade_cost_factor 		= 0.6
	equipment = { floatplane = 4 manpower = 20 }
}
# 4 - 基本水上飞机 
model = {
	cost 				= 1
	buildtime			= 25
	manpower 			= 0.02
	surfacedetectioncapability	= 4
	airdetectioncapability		= 2
	subdetectioncapability		= 2
	airdefence			= 0
	seaattack			= 1
	convoyattack			= 2
	subattack			= 1
	airattack			= 0
	shorebombardment		= 0
	distance			= 0.05
	supplyconsumption 		= 0.2
	fuelconsumption			= 0.1
	upgrade_time_factor 		= 0.8
	upgrade_cost_factor 		= 0.6
	equipment = { floatplane = 4 manpower = 20 }
}
# 5 - 改进水上飞机 
model = {
	cost 				= 1
	buildtime			= 30
	manpower 			= 0.02
	surfacedetectioncapability	= 4
	airdetectioncapability		= 2
	subdetectioncapability		= 3
	airdefence			= 0
	seaattack			= 1
	convoyattack			= 2
	subattack			= 1
	airattack			= 0
	shorebombardment		= 0
	distance			= 0.05
	supplyconsumption 		= 0.2
	fuelconsumption			= 0.2
	upgrade_time_factor 		= 0.8
	upgrade_cost_factor 		= 0.6
	equipment = { floatplane = 4 manpower = 20 }
}
# 6 - 半现代水上飞机 
model = {
	cost 				= 1
	buildtime			= 45
	manpower 			= 0.02
	surfacedetectioncapability	= 4
	airdetectioncapability		= 2
	subdetectioncapability		= 4
	airdefence			= 0
	seaattack			= 1
	convoyattack			= 2
	subattack			= 2
	airattack			= 0
	shorebombardment		= 0
	distance			= 0.05
	supplyconsumption 		= 0.2
	fuelconsumption			= 0.2
	upgrade_time_factor 		= 0.8
	upgrade_cost_factor 		= 0.6
	equipment = { floatplane = 4 manpower = 20 }
}
# 7 - 现代水上飞机 
model = {
	cost 				= 1
	buildtime			= 45
	manpower 			= 0.02
	surfacedetectioncapability	= 5
	airdetectioncapability		= 2
	subdetectioncapability		= 4
	airdefence			= 0
	seaattack			= 1
	convoyattack			= 2
	subattack			= 2
	airattack			= 0
	shorebombardment		= 0
	distance			= 0.05
	supplyconsumption 		= 0.2
	fuelconsumption			= 0.2
	upgrade_time_factor 		= 0.8
	upgrade_cost_factor 		= 0.6
	equipment = { floatplane = 4 manpower = 20 }
}
